uniqueID.4,date_27.07.2018,site_27.07.2018,plot_27.07.2018,quad_27.07.2018,ind_27.07.2018,phen_27.07.2018,height_27.07.2018,total.branch_27.07.2018,longest.leaf_27.07.2018,flrs_27.07.2018,fruits_27.07.2018,buds_27.07.2018,notes_27.07.2018,herb_27.07.2018,protocol.notes_27.07.2018
LV2 P2 QNA #56,7/27/18,LV2,2,NA,56,V,1.8,1,1.5,NA,NA,NA,,,
LV2 P2 QNA #57,7/27/18,LV2,2,NA,57,V,3.6,1,1.6,NA,NA,NA,,,
LV2 P2 QNA #58,7/27/18,LV2,2,NA,58,B,5.7,4,NA,NA,NA,16,herb 2b (1 branch),2,
LV2 P2 QNA #NA,7/27/18,LV2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
LV2 P2 QNA #59,7/27/18,LV2,2,NA,59,V,3.1,1,1.9,NA,NA,NA,,,
LV2 P2 QNA #60,7/27/18,LV2,2,NA,60,V,3.6,2,2,NA,NA,NA,,,
LV2 P2 QNA #61,7/27/18,LV2,2,NA,61,F,11.5,3,NA,1,9,8,,,
LV2 P2 QNA #62,7/27/18,LV2,2,NA,62,V,1.8,1,0.3,NA,NA,NA,,,
LV2 P2 QNA #63,7/27/18,LV2,2,NA,63,V,4.8,5,1.5,NA,NA,NA,herb 2b (2 branches),2,
LV2 P2 QNA #64,7/27/18,LV2,2,NA,64,X,NA,NA,NA,NA,NA,NA,,,
LV2 P2 QNA #65,7/27/18,LV2,2,NA,65,V,2.5,1,1,NA,NA,NA,,,
LV2 P2 QNA #66,7/27/18,LV2,2,NA,66,V,1.7,1,0.9,NA,NA,NA,,,
LV2 P2 QNA #67,7/27/18,LV2,2,NA,67,V,4,1,2,NA,NA,NA,herb 1a,1,
LV2 P2 QNA #68,7/27/18,LV2,2,NA,68,X,NA,NA,NA,NA,NA,NA,,,
LV2 P2 QNA #69,7/27/18,LV2,2,NA,69,P,15,1,NA,NA,4,NA,,,
LV3 P1 Q0 #1-1,7/27/18,LV3,1,0,1-Jan,X,NA,NA,NA,NA,NA,NA,,,
LV3 P1 Q0 #1-4,7/27/18,LV3,1,0,4-Jan,V,6.5,3,2,NA,NA,NA,,,
LV3 P1 Q2.5 #2-1,7/27/18,LV3,1,2.5,1-Feb,P,14.5,6,NA,NA,16,5,herb 2b (1 branch) 2 branches broke off,2,
LV3 P1 Q2.5 #2-3,7/27/18,LV3,1,2.5,3-Feb,P,17.5,11,NA,NA,14,8,,,
LV3 P1 Q3 #2-4,7/27/18,LV3,1,3,4-Feb,P,24.2,6,NA,NA,6,NA,,,
LV3 P1 Q3 #2-7,7/27/18,LV3,1,3,7-Feb,P,25.5,7,NA,NA,11,13,,,
LV3 P1 Q4 #3-1,7/27/18,LV3,1,4,1-Mar,P,25,6,NA,NA,14,NA,,,
LV3 P1 QNA #76,7/27/18,LV3,1,NA,76,P,19,12,NA,NA,18,7,,,
LV3 P1 QNA #77,7/27/18,LV3,1,NA,77,F,24,5,NA,5,12,21,herb 2b (or 1 branch broken),2,
LV3 P1 QNA #78,7/27/18,LV3,1,NA,78,V,6.2,3,1.4,NA,NA,NA,herb 1a,1,
LV3 P1 QNA #79,7/27/18,LV3,1,NA,79,V,4.7,1,2,NA,NA,NA,,,
LV3 P1 QNA #80,7/27/18,LV3,1,NA,80,V,6.3,1,2.4,NA,NA,NA,herb 1a,1,
LV3 P1 QNA #81,7/27/18,LV3,1,NA,81,V,7,1,3,NA,NA,NA,,,
LV3 P1 QNA #82,7/27/18,LV3,1,NA,82,V,6.5,1,2,NA,NA,NA,,,
LV3 P1 QNA #83,7/27/18,LV3,1,NA,83,P,2.7,1,NA,NA,4,NA,,,
LV3 P1 QNA #84,7/27/18,LV3,1,NA,84,P,13,1,NA,NA,2,NA,,,
LV3 P1 QNA #85,7/27/18,LV3,1,NA,85,V,7.4,1,2.5,NA,NA,NA,,,
LV3 P1 QNA #86,7/27/18,LV3,1,NA,86,V,8,1,2.2,NA,NA,NA,herb 1a,1,
LV3 P1 QNA #87,7/27/18,LV3,1,NA,87,P,14.3,1,NA,NA,4,NA,,,
LV3 P1 QNA #88,7/27/18,LV3,1,NA,88,P,18,4,NA,NA,16,NA,herb 2b (1 branch),2,
LV3 P1 QNA #89,7/27/18,LV3,1,NA,89,P,13,1,NA,NA,3,NA,,,
LV3 P1 QNA #90,7/27/18,LV3,1,NA,90,V,8.3,1,2.1,NA,NA,NA,herb 1a,1,
